bloque,mercado,idioma,tipo,handle_actual_o_propuesto,estado_shopify_real,prioridad,decision_recomendada,accion_permitida_ahora,accion_no_permitida_ahora,comentario
Geo existente,Álava,ES,coleccion_geo,comprar-papel-pintado-alava,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Albacete,ES,coleccion_geo,comprar-papel-pintado-albacete,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Alicante,ES,coleccion_geo,comprar-papel-pintado-alicante,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Almería,ES,coleccion_geo,comprar-papel-pintado-almeria,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Asturias,ES,coleccion_geo,comprar-papel-pintado-asturias,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Ávila,ES,coleccion_geo,comprar-papel-pintado-avila,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Badajoz,ES,coleccion_geo,comprar-papel-pintado-badajoz,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Barcelona,ES,coleccion_geo,comprar-papel-pintado-barcelona,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Bizkaia,ES,coleccion_geo,comprar-papel-pintado-bizkaia,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Burgos,ES,coleccion_geo,comprar-papel-pintado-burgos,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Cáceres,ES,coleccion_geo,comprar-papel-pintado-caceres,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Cádiz,ES,coleccion_geo,comprar-papel-pintado-cadiz,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Cantabria,ES,coleccion_geo,comprar-papel-pintado-cantabria,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Castellón,ES,coleccion_geo,comprar-papel-pintado-castellon,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Ciudad Real,ES,coleccion_geo,comprar-papel-pintado-ciudad-real,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Córdoba,ES,coleccion_geo,comprar-papel-pintado-cordoba,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Cuenca,ES,coleccion_geo,comprar-papel-pintado-cuenca,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Gipuzkoa,ES,coleccion_geo,comprar-papel-pintado-gipuzkoa,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Girona,ES,coleccion_geo,comprar-papel-pintado-girona,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Granada,ES,coleccion_geo,comprar-papel-pintado-granada,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Guadalajara,ES,coleccion_geo,comprar-papel-pintado-guadalajara,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Huelva,ES,coleccion_geo,comprar-papel-pintado-huelva,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Huesca,ES,coleccion_geo,comprar-papel-pintado-huesca,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Jaén,ES,coleccion_geo,comprar-papel-pintado-jaen,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,La Coruña,ES,coleccion_geo,comprar-papel-pintado-la-coruna,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,La Rioja,ES,coleccion_geo,comprar-papel-pintado-la-rioja,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Las Palmas,ES,coleccion_geo,comprar-papel-pintado-las-palmas,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,León,ES,coleccion_geo,comprar-papel-pintado-leon,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Lleida,ES,coleccion_geo,comprar-papel-pintado-lleida,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Lugo,ES,coleccion_geo,comprar-papel-pintado-lugo,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Madrid,ES,coleccion_geo,comprar-papel-pintado-madrid,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Málaga,ES,coleccion_geo,comprar-papel-pintado-malaga,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Murcia,ES,coleccion_geo,comprar-papel-pintado-murcia,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Navarra,ES,coleccion_geo,comprar-papel-pintado-navarra,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Ourense,ES,coleccion_geo,comprar-papel-pintado-ourense,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Palencia,ES,coleccion_geo,comprar-papel-pintado-palencia,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Pontevedra,ES,coleccion_geo,comprar-papel-pintado-pontevedra,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Salamanca,ES,coleccion_geo,comprar-papel-pintado-salamanca,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Segovia,ES,coleccion_geo,comprar-papel-pintado-segovia,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Sevilla,ES,coleccion_geo,comprar-papel-pintado-sevilla,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Soria,ES,coleccion_geo,comprar-papel-pintado-soria,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Tarragona,ES,coleccion_geo,comprar-papel-pintado-tarragona,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Teruel,ES,coleccion_geo,comprar-papel-pintado-teruel,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Toledo,ES,coleccion_geo,comprar-papel-pintado-toledo,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Valencia,ES,coleccion_geo,comprar-papel-pintado-valencia,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Valladolid,ES,coleccion_geo,comprar-papel-pintado-valladolid,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Zamora,ES,coleccion_geo,comprar-papel-pintado-zamora,existe; patrón 73 productos,STANDBY / requiere GSC,STANDBY; noindex solo con datos GSC/ventas y propuesta 011E3,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Zaragoza,ES,coleccion_geo,comprar-papel-pintado-zaragoza,existe; patrón 73 productos,P1 geográfica estratégica,PROTEGER + MEJORAR contenido local,clasificar y planificar,noindex/escritura sin propuesta,Geográfica ES; riesgo de repetición si no se enriquece.
Geo existente,Burdeos,FR,coleccion_geo,comprar-papel-pintado-burdeos,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,Estrasburgo,FR,coleccion_geo,comprar-papel-pintado-estrasburgo,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,Lille,FR,coleccion_geo,comprar-papel-pintado-lille,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,Lyon,FR,coleccion_geo,comprar-papel-pintado-lyon,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,Marsella,FR,coleccion_geo,comprar-papel-pintado-marsella,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,Montpellier,FR,coleccion_geo,comprar-papel-pintado-montpellier,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,Nantes,FR,coleccion_geo,comprar-papel-pintado-nantes,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,Niza,FR,coleccion_geo,comprar-papel-pintado-niza,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,París,FR,coleccion_geo,comprar-papel-pintado-paris,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo existente,Toulouse,FR,coleccion_geo,comprar-papel-pintado-toulouse,existe; patrón 73 productos,P1 Francia estratégica,PROTEGER + MEJORAR en francés nativo,clasificar y planificar,noindex/escritura sin propuesta,Francia es mercado prioritario; no noindexar sin GSC/ventas.
Geo faltante,Alemania,DE,landing_a_crear_futura,berlin,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Alemania,DE,landing_a_crear_futura,hamburg,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Alemania,DE,landing_a_crear_futura,munich-muenchen,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Alemania,DE,landing_a_crear_futura,frankfurt,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Alemania,DE,landing_a_crear_futura,dusseldorf,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Alemania,DE,landing_a_crear_futura,cologne-koeln,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Países Bajos,NL,landing_a_crear_futura,amsterdam,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Países Bajos,NL,landing_a_crear_futura,rotterdam,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Países Bajos,NL,landing_a_crear_futura,utrecht,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Países Bajos,NL,landing_a_crear_futura,den-haag,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Países Bajos,NL,landing_a_crear_futura,eindhoven,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,UK,EN-UK,landing_a_crear_futura,london,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,UK,EN-UK,landing_a_crear_futura,manchester,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,UK,EN-UK,landing_a_crear_futura,birmingham,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,UK,EN-UK,landing_a_crear_futura,edinburgh,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,UK,EN-UK,landing_a_crear_futura,bristol,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Bélgica,FR/NL,landing_a_crear_futura,brussels-bruxelles-brussel,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Bélgica,FR/NL,landing_a_crear_futura,antwerp-antwerpen,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Bélgica,FR/NL,landing_a_crear_futura,ghent-gent,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,Bélgica,FR/NL,landing_a_crear_futura,bruges-brugge,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,USA,EN-US,landing_a_crear_futura,new-york,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,USA,EN-US,landing_a_crear_futura,los-angeles,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,USA,EN-US,landing_a_crear_futura,miami,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,USA,EN-US,landing_a_crear_futura,chicago,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,México,ES-MX,landing_a_crear_futura,ciudad-de-mexico,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,México,ES-MX,landing_a_crear_futura,guadalajara,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,México,ES-MX,landing_a_crear_futura,monterrey,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
Geo faltante,México,ES-MX,landing_a_crear_futura,cancun,no detectada,Planificación / no inmediata,CREAR solo tras landing país y briefing,mapear arquitectura,crear ahora sin priorización ni copy nativo,No ejecutar todavía; primero país pilar + enlazado interno.
