mercado,idioma,pagina,seccion,tipo_contenido,texto_borrador,estado,riesgo,accion_requerida
España,ES,papel-pintado-espana,FAQ 2,faq,"¿MatchWalls trabaja con profesionales? Sí. La página de profesionales está orientada a interioristas, arquitectos, tiendas y proyectos comerciales que necesitan soporte en selección, muestras o personalización.",BORRADOR_NO_PUBLICADO,bajo/medio,revisión humana antes de Shopify
España,ES,papel-pintado-espana,FAQ 3,faq,¿Puedo crear un mural personalizado? Sí. La opción de personalización permite adaptar un mural o trabajar con una propuesta ajustada a medidas y necesidades del espacio.,BORRADOR_NO_PUBLICADO,bajo/medio,revisión humana antes de Shopify
España,ES,papel-pintado-espana,CTA final,body,"Empieza explorando las colecciones, solicita muestras o prepara tu mural personalizado con las medidas de tu pared.",BORRADOR_NO_PUBLICADO,bajo/medio,revisión humana antes de Shopify
Francia,FR,papier-peint-france,SEO title,metadata,Papier peint en France | Panoramiques sur mesure | MatchWalls,BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,Meta description,metadata,"Découvrez des papiers peints et panoramiques sur mesure pour maisons, décorateurs, architectes d’intérieur et projets professionnels en France. Designs, échantillons, matériaux et personnalisation.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,H1,h1,Papier peint en France pour intérieurs résidentiels et projets professionnels,BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,Hero,body,"MatchWalls propose des papiers peints, panoramiques décoratifs et solutions murales sur mesure pour transformer les intérieurs résidentiels, hôtels, restaurants, bureaux, boutiques et espaces professionnels en France. Explorez des designs contemporains, botaniques, artistiques, géométriques, floraux ou pour enfants, puis choisissez le matériau adapté à votre projet.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,Propuesta de valor,body,"Notre approche combine design, personnalisation et accompagnement. Vous pouvez sélectionner une collection, commander des échantillons pour valider les couleurs et les textures, ou préparer un panoramique personnalisé à partir des dimensions de votre mur.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,B2C,body,"Pour les particuliers, MatchWalls aide à créer des ambiances décoratives dans le salon, la chambre, la chambre d’enfant, le couloir, la salle à manger, la cuisine ou le bureau à domicile, avec des papiers peints et panoramiques pensés pour donner du caractère à chaque espace.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,B2B,body,"Pour les architectes d’intérieur, décorateurs, boutiques, hôtels, restaurants et projets contract, MatchWalls offre un catalogue visuel, des échantillons et des possibilités de personnalisation utiles pour construire une proposition décorative cohérente.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,Materiales,body,"Le choix du matériau dépend de l’usage, du support mural et du niveau d’exigence du projet. Selon le contexte, vous pouvez étudier des options comme le papier peint intissé, le vinyle ou des solutions adhésives de type peel and stick. Avant de confirmer, nous recommandons de vérifier les échantillons et les conditions de pose.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,Ciudades estratégicas,body,"Si vous recherchez du papier peint à Paris, Lyon, Toulouse, Marseille, Bordeaux, Nantes, Lille, Nice, Montpellier ou Strasbourg, MatchWalls peut servir de point de départ pour choisir un design, un matériau et des échantillons avant de lancer votre projet.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,FAQ 1,faq,"Puis-je commander des échantillons avant d’acheter ? Oui. Les échantillons permettent de vérifier la couleur, la texture et le rendu du matériau avant de choisir le papier peint ou le panoramique final.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,FAQ 2,faq,"MatchWalls travaille-t-il avec les professionnels ? Oui. MatchWalls accompagne les architectes d’intérieur, décorateurs, boutiques et projets commerciaux dans la sélection de designs, matériaux et échantillons.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,FAQ 3,faq,"Puis-je créer un panoramique personnalisé ? Oui. Les options de personnalisation permettent d’adapter un design, une échelle ou une composition aux dimensions et aux besoins de votre espace.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
Francia,FR,papier-peint-france,CTA final,body,"Découvrez les collections, commandez des échantillons ou préparez un panoramique personnalisé pour votre projet en France.",BORRADOR_NO_PUBLICADO,medio,revisión FR nativa obligatoria
