orden,fase,lote,tipo,alcance,idiomas,estado,riesgo,dependencias,accion_siguiente,aprobacion_requerida,criterio_salida
16.11,Redirecciones,MW-INDEXABILITY-REDIRECTS-HOME-TARGET-ES-ART-CLEANUP-011G5B1,Escritura Shopify,"Eliminar 4 redirects ES antiguos de lienzos/cuadros que apuntan a home si Daniel confirma que no son linea comercial activa","ES",CORREGIDO Y VERIFICADO,Medio,"011G5B decision + aprobacion exacta","Cerrado; no repetir","No aplica; ejecutado con aprobacion exacta","4 redirects eliminados; target:/ baja de 35 a 31; fuentes 404 directo; sitemap limpio"
16.12,Redirecciones/Contenido,MW-INDEXABILITY-REDIRECTS-HOME-TARGET-ES-ART-LANDING-011G5B2,Contenido/arquitectura,"Crear o publicar landing comercial canonica de lienzos/cuadros antes de repuntar redirects si la linea se reactiva","ES|EN|FR|DE|NL",STANDBY,Alto,"011G5B1 ejecutado; requiere decision comercial nueva","Mantener en standby salvo reactivacion expresa de linea lienzos/cuadros","REQUIERE DECISION HUMANA","Landing publicada/verificada y solo despues propuesta de repunte con equivalencia real"
16.2,Redirecciones,MW-INDEXABILITY-REDIRECTS-HOME-TARGET-NO-STANDBY-011G5C,Decision/diagnostico,"31 redirects legacy /no/ a home; noruego no publicado y fuera de idiomas prioritarios","NO",STANDBY,Medio,"011G5 cerrado; NO no prioritario","No tocar salvo autorizacion expresa para idioma NO/no prioritario","REQUIERE DECISION HUMANA","Mantener STANDBY o limpiar por bloque si se autoriza"
17,Redirecciones legacy,MW-INDEXABILITY-REDIRECTS-LEGACY-MATCHWALLS-DIAG-011G6,Diagnostico solo lectura,"Clasificar 333 matchwallsmurals y 44 matchwallswallpapers","ES|EN|FR|DE|NL",STANDBY,Alto,"Handles matchwallsmurals en STANDBY","No tocar handles; solo diagnostico si Daniel lo autoriza","No requiere para lectura si se desbloquea","Mapa de equivalencias sin cambios aplicados"
18,Redirecciones,MW-INDEXABILITY-REDIRECTS-PRODUCTS-PAGES-DIAG-011G7,Diagnostico solo lectura,"Revisar redirects actuales de producto, paginas y colecciones restantes","ES|EN|FR|DE|NL",VERIFICADO PERO MEJORABLE,Medio,"011G5A y 011G5B1 cerrados","Diagnostico cerrado; tratar derivados 011G7A/011G7B/011G7C sin mezclar muestras, colecciones y cadenas","No aplica; lectura ejecutada","58 redirects clasificados; 17 productos ok, 1 muestra a 404, 3 paginas ok, 31 colecciones ok, 5 colecciones a 404, 1 cadena"
18.1,Redirecciones muestras,MW-INDEXABILITY-REDIRECTS-SAMPLE-DEAD-TARGET-DECISION-011G7A,Decision/diagnostico,"Decidir politica para /products/muestra-desnudos-blanco-y-negro -> /collections/muestras; producto DRAFT y target 404","ES",CORREGIDO Y VERIFICADO,Alto,"011G7 cerrado; politica muestras vigente; 011G7A1 ejecutado","Decision cerrada: se repunto a /pages/muestras; alternativa de limpieza no ejecutada","No aplica; lectura ejecutada y escritura cerrada en 011G7A1","Producto DRAFT, target anterior 404 y pagina /pages/muestras 200 verificados; redirect corregido"
18.11,Redirecciones muestras,MW-INDEXABILITY-REDIRECTS-SAMPLE-DEAD-TARGET-REPOINT-PAGE-011G7A1,Escritura Shopify,"Actualizar redirect /products/muestra-desnudos-blanco-y-negro desde /collections/muestras hacia /pages/muestras","ES",CORREGIDO Y VERIFICADO,Medio,"011G7A cerrado; /pages/muestras publicada y en sitemap","Cerrado; no repetir salvo reversion aprobada","No aplica; ejecutado con aprobacion exacta","Fuente 301 -> /pages/muestras -> 200; sitemap fuente 0 y pagina 1; Admin target actualizado"
18.12,Redirecciones muestras,MW-INDEXABILITY-REDIRECTS-SAMPLE-DEAD-TARGET-CLEANUP-011G7A2,Escritura Shopify,"Eliminar redirect de muestra si Daniel decide no conservar trafico antiguo hacia pagina informativa","ES",STANDBY,Medio,"011G7A cerrado por repunte 011G7A1","No ejecutar salvo decision futura de eliminar o revertir estrategia","Requeriria aprobacion exacta nueva si se reactiva","Alternativa no aplicada; redirect conservado y repuntado a /pages/muestras"
18.2,Redirecciones colecciones,MW-INDEXABILITY-REDIRECTS-COLLECTIONS-DEAD-TARGETS-DECISION-011G7B,Decision/diagnostico,"Decidir 5 colecciones ES con targets 404; buscar equivalencias reales o limpiar","ES",CORREGIDO Y VERIFICADO,Alto,"011G7 cerrado; 011G7A1 cerrado; 011G7B1 ejecutado","Decision cerrada: kids repuntado y 4 redirects sin equivalencia eliminados","No aplica; lectura ejecutada y escritura cerrada en 011G7B1","5 casos verificados; 1 update y 4 deletes ejecutados y verificados"
18.21,Redirecciones colecciones,MW-INDEXABILITY-REDIRECTS-COLLECTIONS-DEAD-TARGETS-SAFE-CLEANUP-011G7B1,Escritura Shopify,"Repuntar /collections/kids a /collections/kids-murales y eliminar 4 redirects de colecciones sin equivalencia segura","ES",CORREGIDO Y VERIFICADO,Alto,"011G7B documentado; /collections/kids-murales vivo y en sitemap","Cerrado; no repetir salvo reversion aprobada","No aplica; ejecutado con aprobacion exacta","Admin: 1 update y 4 deletes; publico: kids 301 -> kids-murales 200; otras 4 fuentes 404 directo; sitemap limpio"
18.3,Redirecciones colecciones,MW-INDEXABILITY-REDIRECTS-COLLECTIONS-CHAIN-RAYAS-011G7C,Escritura Shopify,"Consolidar /collections/rayas-rollos directamente a /collections/murales-estilo-a-rayas si se aprueba","ES",CORREGIDO Y VERIFICADO,Medio,"011G7 cerrado; destino final vivo verificado","Cerrado; no repetir salvo reversion aprobada","No aplica; ejecutado con aprobacion exacta","Redirect actualizado; fuente 301 -> destino final 200 sin cadena; sitemap limpio"
19,Canonicals hreflang,MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,Diagnostico solo lectura,"Auditar canonicals/hreflang post-limpieza en URLs prioritarias","ES|EN|FR|DE|NL",VERIFICADO PERO MEJORABLE,Medio,"Redirecciones criticas resueltas o acotadas; 011H ejecutado","Diagnostico cerrado; continuar con MW-INDEXABILITY-GEO-COLLECTIONS-ROLLING-DIAG-011E2; 011H1 solo en STANDBY si GSC/Bing detectan duplicacion trailing slash","No aplica; lectura ejecutada","39 URLs prioritarias auditadas; 0 fallos criticos canonical/hreflang; 4 homes localizadas normalizan slash final"
20,Medicion,MW-ACCESS-MEASUREMENT-012A,Acceso externo,"Verificar GSC, GA4, Merchant Center, CrUX y conversiones por URL","ES|EN|FR|DE|NL",NO ACCESIBLE,Alto,"Credenciales/acceso externo","Daniel debe facilitar acceso o exportaciones","REQUIERE DECISION HUMANA","Datos reales disponibles para decisiones"
21,Bing Yahoo Copilot,MW-BING-WEBMASTER-012B,Acceso externo,"Verificar Bing Webmaster Tools; cubrir Bing, Edge, Copilot y Yahoo","ES|EN|FR|DE|NL",NO ACCESIBLE,Alto,"Acceso Bing Webmaster","Verificar propiedad y sitemaps canonicos","REQUIERE DECISION HUMANA","Propiedad verificada; sitemaps enviados; errores conocidos"
22,IndexNow,MW-INDEXNOW-DESIGN-012C,Diseno tecnico,"Disenar protocolo IndexNow para altas, cambios y bajas canonicas","ES|EN|FR|DE|NL",INCOMPLETO,Medio,"012B deseable; politica canonicas","Crear diseno tecnico sin escribir","No requiere para diseno","Documento tecnico con endpoints, key y disparadores"
23,IndexNow,MW-INDEXNOW-IMPLEMENTATION-012C2,Escritura/integracion,"Implementar IndexNow si el diseno es aprobado","ES|EN|FR|DE|NL",REQUIERE DECISION HUMANA,Alto,"012C aprobado","Propuesta formal antes de integrar","APROBADO LOTE MW-INDEXNOW-IMPLEMENTATION-012C2","Envios controlados y logs/verificacion"
24,Crawlers IA,MW-CRAWLERS-SEARCH-AI-POLICY-DIAG-012D1,Diagnostico solo lectura,"Auditar robots, agents.md, sitemap, bots oficiales, CDN/WAF/logs si accesibles","ES|EN|FR|DE|NL",INCOMPLETO,Alto,"Documento consolidado 2026-06-30","Ejecutar diagnostico y politica recomendada","No requiere para lectura","Politica separada busqueda/citas vs entrenamiento"
25,Crawlers IA,MW-CRAWLERS-SEARCH-AI-POLICY-IMPLEMENTATION-012D2,Escritura Shopify/CDN,"Aplicar politica robots/bots si se aprueba","ES|EN|FR|DE|NL",REQUIERE DECISION HUMANA,Alto,"012D1 y propuesta formal","No ejecutar sin aprobacion exacta","APROBADO LOTE MW-CRAWLERS-SEARCH-AI-POLICY-IMPLEMENTATION-012D2","Robots validado; crawlers permitidos/bloqueados segun politica"
26,Yandex,MW-YANDEX-WEBMASTER-012E,Externo,"Yandex Webmaster","No prioritario",STANDBY,Bajo,"Decision Daniel: no necesario","Mantener fuera de alcance","No aplica","No consumir recursos salvo nueva decision"
27,Entidad factual,MW-ENTITY-EVIDENCE-013A,Documentacion/contenido,"Crear base factual verificable de MatchWalls","ES|EN|FR|DE|NL",INCOMPLETO,Medio,"Indexabilidad critica acotada","Recopilar hechos con evidencia y fuentes internas","No requiere si es documento; Shopify si publica","Base factual aprobada y reutilizable"
28,Entidad factual,MW-ENTITY-CONTENT-I18N-013B,Contenido Shopify,"Publicar/ajustar entidad en paginas visibles","ES|EN|FR|DE|NL",REQUIERE DECISION HUMANA,Alto,"013A aprobado","Propuesta por URL e idioma","APROBADO LOTE MW-ENTITY-CONTENT-I18N-013B","Contenido visible coherente y localizado"
29,Schema,MW-SCHEMA-GLOBAL-AUDIT-013C,Diagnostico solo lectura,"Auditar Organization, WebSite, Product, Offer, Breadcrumb, Article, FAQ/HowTo si aplica","ES|EN|FR|DE|NL",INCOMPLETO,Alto,"Hotfix AggregateRating cerrado","Ejecutar auditoria global de JSON-LD","No requiere para lectura","Matriz schema por plantilla y URL"
30,Schema,MW-SCHEMA-ENTITY-IMPLEMENTATION-013D,Escritura Shopify,"Alinear schema con contenido visible y eliminar datos no verificables","ES|EN|FR|DE|NL",REQUIERE DECISION HUMANA,Alto,"013C y propuesta formal","Implementar por bloques","APROBADO LOTE MW-SCHEMA-ENTITY-IMPLEMENTATION-013D","Schema valido, coherente y sin claims falsos"
31,Contenido citable,MW-CONTENT-DEMAND-MAP-014A,Plan editorial,"Mapa de contenidos citables por intencion y pais/idioma","ES|EN|FR|DE|NL",INCOMPLETO,Medio,"Entidad factual inicial","Crear calendario y briefs","No requiere para documento","Briefs aprobables por prioridad"
32,Contenido citable,MW-CONTENT-GUIDES-CORE-014B,Contenido Shopify,"Guias de medicion, instalacion, materiales, mantenimiento y retirada","ES|EN|FR|DE|NL",REQUIERE DECISION HUMANA,Alto,"014A briefs aprobados","Publicar por oleadas","APROBADO LOTE MW-CONTENT-GUIDES-CORE-014B","URLs utiles, H1/meta/schema/enlaces verificados"
33,Contenido citable,MW-CONTENT-COMPARISONS-CALCULATORS-014C,Contenido/funcional,"Comparativas, tablas y calculadoras propias","ES|EN|FR|DE|NL",INCOMPLETO,Medio,"014A y validacion tecnica","Diseñar sin publicar primero","Pendiente segun alcance","Herramientas claras, rastreables y verificadas"
34,Contenido B2B,MW-CONTENT-B2B-CASES-014D,Contenido Shopify,"Casos B2B con fotos, material, reto y solucion","ES|EN|FR|DE|NL",REQUIERE DECISION HUMANA,Medio,"Evidencia real de proyectos","No crear claims sin pruebas","APROBADO LOTE MW-CONTENT-B2B-CASES-014D","Casos verificables y localizados"
35,Panel CEO/CMO,MW-DASHBOARD-SEO-GEO-DESIGN-015A,Medicion,"Diseñar panel mensual de ingresos, indexacion, CWV, schema, citas IA y menciones","ES|EN|FR|DE|NL",INCOMPLETO,Medio,"012A/012B accesos","Definir KPIs y fuentes","No requiere para diseño","Panel especificado"
36,Panel CEO/CMO,MW-DASHBOARD-SEO-GEO-IMPLEMENTATION-015B,Medicion externa,"Implementar panel con fuentes reales","ES|EN|FR|DE|NL",NO ACCESIBLE,Medio,"015A y accesos","Conectar datos reales","REQUIERE DECISION HUMANA","Panel alimentado con datos y revisión mensual"
