rank_export,url,path,locale_signal,page_type,handle,topic_cluster,impressions,clicks,ctr_export,avg_position,priority,status,risk_note,recommendation
11,https://www.matchwalls.com/en/collections/tarragona-wallpaper,/en/collections/tarragona-wallpaper,EN,collection,tarragona-wallpaper,Geo/local,4,0,0%,8.5,MEDIA,VERIFICADO PERO MEJORABLE,Se?al visible pero muestra peque?a; evitar sobrerreacci?n.,Monitorizar y agrupar por cluster antes de intervenci?n.
12,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,/collections/murales-para-habitaciones-de-adolescentes,ES,collection,murales-para-habitaciones-de-adolescentes,Colecci?n producto/color/patr?n/espacio,3,0,0%,7.33,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
13,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,/collections/comprar-papel-pintado-paris,ES,collection,comprar-papel-pintado-paris,Geo/local,3,0,0%,9.33,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
14,https://www.matchwalls.com/products/marejada-azul,/products/marejada-azul,ES,product,marejada-azul,Producto,3,0,0%,1.67,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
15,https://www.matchwalls.com/collections/papeles-pintados-color-lila,/collections/papeles-pintados-color-lila,ES,collection,papeles-pintados-color-lila,Colecci?n producto/color/patr?n/espacio,3,0,0%,4.33,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
16,https://www.matchwalls.com/collections/murales-estilo-paisajes,/collections/murales-estilo-paisajes,ES,collection,murales-estilo-paisajes,Colecci?n producto/color/patr?n/espacio,3,0,0%,6.67,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
17,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,/fr/pages/creez-votre-propre-murale,FR,page,creez-votre-propre-murale,Mural personalizado / informacional,3,0,0%,5.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
18,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,/collections/murales-mas-vendidos-mural,ES,collection,murales-mas-vendidos-mural,Colecci?n producto/color/patr?n/espacio,2,1,50%,1.0,ALTA,VERIFICADO PERO MEJORABLE,P?gina con clic real desde Bing; requiere auditor?a de title/meta/canonical/hreflang antes de cambios.,Priorizar QA de la URL y cruzar con keywords/pa?s/dispositivo antes de escribir en Shopify.
19,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,ES,blog,inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,Medici?n/instalaci?n,2,0,0%,3.5,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
20,https://www.matchwalls.com/it/pages/crea-il-tuo-murale,/it/pages/crea-il-tuo-murale,IT,page,crea-il-tuo-murale,Mural personalizado / informacional,2,0,0%,5.0,BAJA,STANDBY,Idioma fuera de alcance prioritario actual; no accionar sin autorizaci?n expresa.,Mantener como se?al para Fase 2 o limpieza defensiva; no crear/editar contenido ahora.
21,https://www.matchwalls.com/pt/collections/lilas-pintou-papeis-matchwallswallpapers,/pt/collections/lilas-pintou-papeis-matchwallswallpapers,PT,collection,lilas-pintou-papeis-matchwallswallpapers,Otro,2,0,0%,9.0,BAJA,STANDBY,Idioma fuera de alcance prioritario actual; no accionar sin autorizaci?n expresa.,Mantener como se?al para Fase 2 o limpieza defensiva; no crear/editar contenido ahora.
22,https://www.matchwalls.com/products/polka-dot-delight-rosa,/products/polka-dot-delight-rosa,ES,product,polka-dot-delight-rosa,Producto,2,0,0%,7.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
23,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,/collections/comprar-papel-pintado-huelva,ES,collection,comprar-papel-pintado-huelva,Geo/local,1,0,0%,4.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
24,https://www.matchwalls.com/collections/murales-para-el-dormitorio,/collections/murales-para-el-dormitorio,ES,collection,murales-para-el-dormitorio,Colecci?n producto/color/patr?n/espacio,1,0,0%,8.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
25,https://www.matchwalls.com/products/ondas-suaves-azul,/products/ondas-suaves-azul,ES,product,ondas-suaves-azul,Producto,1,0,0%,8.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
26,https://www.matchwalls.com/products/tartan-contemporaneo-beige,/products/tartan-contemporaneo-beige,ES,product,tartan-contemporaneo-beige,Producto,1,0,0%,2.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
27,https://www.matchwalls.com/collections/comprar-papel-pintado-marsella,/collections/comprar-papel-pintado-marsella,ES,collection,comprar-papel-pintado-marsella,Geo/local,1,0,0%,1.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
28,https://www.matchwalls.com/collections/papeles-pintados-color-plateado,/collections/papeles-pintados-color-plateado,ES,collection,papeles-pintados-color-plateado,Colecci?n producto/color/patr?n/espacio,1,0,0%,10.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
29,https://www.matchwalls.com/it/products/beige-murale-serenita-tropicale,/it/products/beige-murale-serenita-tropicale,IT,product,beige-murale-serenita-tropicale,Producto,1,0,0%,3.0,BAJA,STANDBY,Idioma fuera de alcance prioritario actual; no accionar sin autorizaci?n expresa.,Mantener como se?al para Fase 2 o limpieza defensiva; no crear/editar contenido ahora.
30,https://www.matchwalls.com/en/products/verdant-zenith-gray-3,/en/products/verdant-zenith-gray-3,EN,product,verdant-zenith-gray-3,Producto,1,0,0%,10.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
31,https://www.matchwalls.com/en/collections/malaga-wallpaper,/en/collections/malaga-wallpaper,EN,collection,malaga-wallpaper,Geo/local,1,0,0%,9.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
32,https://www.matchwalls.com/collections/murales-para-una-oficina-comercial,/collections/murales-para-una-oficina-comercial,ES,collection,murales-para-una-oficina-comercial,Colecci?n producto/color/patr?n/espacio,1,0,0%,10.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
33,https://www.matchwalls.com/collections/papeles-pintados-color-amarillo,/collections/papeles-pintados-color-amarillo,ES,collection,papeles-pintados-color-amarillo,Colecci?n producto/color/patr?n/espacio,1,0,0%,2.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
34,https://www.matchwalls.com/products/tartan-contemporaneo-amarillo,/products/tartan-contemporaneo-amarillo,ES,product,tartan-contemporaneo-amarillo,Producto,1,0,0%,5.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
35,https://www.matchwalls.com/products/navy-precision-azul,/products/navy-precision-azul,ES,product,navy-precision-azul,Producto,1,0,0%,4.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
36,https://www.matchwalls.com/products/tartan-contemporaneo-azul,/products/tartan-contemporaneo-azul,ES,product,tartan-contemporaneo-azul,Producto,1,0,0%,4.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
37,https://www.matchwalls.com/collections/papeles-pintados-color-rosa,/collections/papeles-pintados-color-rosa,ES,collection,papeles-pintados-color-rosa,Colecci?n producto/color/patr?n/espacio,1,0,0%,8.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
38,https://www.matchwalls.com/fr/products/eclipse-lunaire-grise,/fr/products/eclipse-lunaire-grise,FR,product,eclipse-lunaire-grise,Producto,1,0,0%,8.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
39,https://www.matchwalls.com/en/collections/la-rioja-wallpaper,/en/collections/la-rioja-wallpaper,EN,collection,la-rioja-wallpaper,Geo/local,1,0,0%,5.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
40,https://www.matchwalls.com/collections/murales-estilo-maderas,/collections/murales-estilo-maderas,ES,collection,murales-estilo-maderas,Colecci?n producto/color/patr?n/espacio,1,0,0%,5.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
41,https://www.matchwalls.com/en/collections/castellon-wallpaper,/en/collections/castellon-wallpaper,EN,collection,castellon-wallpaper,Geo/local,1,0,0%,9.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
42,https://www.matchwalls.com/de/collections/peel-stick-self-adhasive-tapete,/de/collections/peel-stick-self-adhasive-tapete,DE,collection,peel-stick-self-adhasive-tapete,Colecci?n producto/color/patr?n/espacio,1,0,0%,10.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
43,https://www.matchwalls.com/pt/collections/peel-stick-auto-adesivo-papel-de-parede,/pt/collections/peel-stick-auto-adesivo-papel-de-parede,PT,collection,peel-stick-auto-adesivo-papel-de-parede,Colecci?n producto/color/patr?n/espacio,1,0,0%,9.0,BAJA,STANDBY,Idioma fuera de alcance prioritario actual; no accionar sin autorizaci?n expresa.,Mantener como se?al para Fase 2 o limpieza defensiva; no crear/editar contenido ahora.
44,https://www.matchwalls.com/products/tartan-sutil-beige,/products/tartan-sutil-beige,ES,product,tartan-sutil-beige,Producto,1,0,0%,8.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
45,https://www.matchwalls.com/products/cuadricula-clasica-blanco-y-negro,/products/cuadricula-clasica-blanco-y-negro,ES,product,cuadricula-clasica-blanco-y-negro,Producto,1,0,0%,7.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
46,https://www.matchwalls.com/pt/collections/estrutura-de-murais-matchwallsmurais,/pt/collections/estrutura-de-murais-matchwallsmurais,PT,collection,estrutura-de-murais-matchwallsmurais,Legacy matchwallsmurals / STANDBY,1,0,0%,10.0,STANDBY,STANDBY,Handle relacionado con matchwallsmurals/matchwallsmurais; instrucciones permanentes indican no modificar hasta decisi?n expresa.,"No tocar handle, redirecci?n ni contenido; revisar solo en lote espec?fico de legacy si Daniel lo aprueba."
47,https://www.matchwalls.com/fr/collections/peintures-murales-botaniques-matchwallsmurals,/fr/collections/peintures-murales-botaniques-matchwallsmurals,FR,collection,peintures-murales-botaniques-matchwallsmurals,Legacy matchwallsmurals / STANDBY,1,0,0%,6.0,STANDBY,STANDBY,Handle relacionado con matchwallsmurals/matchwallsmurais; instrucciones permanentes indican no modificar hasta decisi?n expresa.,"No tocar handle, redirecci?n ni contenido; revisar solo en lote espec?fico de legacy si Daniel lo aprueba."
48,https://www.matchwalls.com/en/pages/all-about-our-murals,/en/pages/all-about-our-murals,EN,page,all-about-our-murals,Mural personalizado / informacional,1,0,0%,3.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
49,https://www.matchwalls.com/products/stripe-harmony-verde,/products/stripe-harmony-verde,ES,product,stripe-harmony-verde,Producto,1,0,0%,9.0,BAJA,VERIFICADO PERO MEJORABLE,Baja muestra; insuficiente para cambio directo.,Mantener en observaci?n hasta tener m?s datos o cruce con GSC.
