fecha,lote,capa,recurso,idioma,estado,evidencia,accion_recomendada
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Menu activo,gid://shopify/Menu/210266325219 footer,global,CORREGIDO Y VERIFICADO,"AYUDA Y SOPORTE no contiene Tarjeta regalo Black Friday ni Envios internacionales",No cambiar
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Menu activo,gid://shopify/Menu/210972311779 footer-profesional,global,CORREGIDO Y VERIFICADO,"PROFESIONALES contiene 6 enlaces B2B/social/muestra actuales",No cambiar
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Menu activo,gid://shopify/Menu/210972344547 footer-brand,global,CORREGIDO Y VERIFICADO,"EMPRESA contiene Sobre nosotros Nuestros productos Sostenibilidad Inspiracion",No cambiar
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Menu activo,gid://shopify/Menu/210972410083 footer-legal,global,CORREGIDO Y VERIFICADO,"LEGAL contiene politicas/condiciones actuales",No cambiar
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Menu legacy,gid://shopify/Menu/210969952483 footer-matchwalls,global,VERIFICADO PERO MEJORABLE,"Menu actual de Shopify no visible en footer publico verificado; conserva estructura antigua",Auditar referencias de tema antes de limpiar o retirar
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,MenuItem legacy,gid://shopify/MenuItem/493550371043,global,INCORRECTO,"Titulo fuente Tarjeta regalo dentro de footer-matchwalls; EN Gift card outdated:false",Limpiar en lote especifico si footer-matchwalls no esta en uso
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,MenuItem legacy,gid://shopify/MenuItem/493550239971,global,INCORRECTO,"Titulo fuente B2B Interiorismo dentro de footer-matchwalls; EN B2B Interiorism outdated:false",Limpiar en lote especifico si footer-matchwalls no esta en uso
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,LangShop CSV raw,navigation_export_es_en.csv,EN,VERIFICADO PERO MEJORABLE,"189 filas; incluye Tarjeta regalo y B2B Interiorismo legacy; no Black Friday ni International shipping",No reimportar raw
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,LangShop CSV raw,navigation_export_es_fr.csv,FR,VERIFICADO PERO MEJORABLE,"189 filas; incluye Tarjeta regalo y B2B Interiorismo legacy; no Black Friday ni International shipping",No reimportar raw
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,LangShop CSV raw,navigation_export_es_de.csv,DE,VERIFICADO PERO MEJORABLE,"189 filas; incluye Tarjeta regalo y B2B Interiorismo legacy; no Black Friday ni International shipping",No reimportar raw
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,LangShop CSV raw,navigation_export_es_nl.csv,NL,VERIFICADO PERO MEJORABLE,"189 filas; incluye Tarjeta regalo y B2B Interiorismo legacy; no Black Friday ni International shipping",No reimportar raw
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Operacion LangShop,Importar CSV,global,RIESGO CRITICO,"Los CSV raw mezclan recursos activos y legacy",No importar sin CSV limpio respaldo y lote aprobado
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Texto fuera de footer,Barra superior / Shopify Inbox,ES,VERIFICADO PERO MEJORABLE,"Se detecta referencia a envio internacional gratuito fuera del footer",Tratar en lote separado si Daniel decide eliminarlo globalmente
