lote;area;plataforma_bot;estado_actual;decision_recomendada;clasificacion;fuente_o_evidencia
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;OpenAI Search;OAI-SearchBot;"Permitido por User-agent *."; "Mantener permitido; no crear grupo específico ahora.";VERIFICADO Y CORRECTO;"OpenAI crawlers"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;OpenAI User;ChatGPT-User;"User-initiated; robots puede no aplicar como crawler estándar."; "No bloquear; auditar WAF/CDN.";VERIFICADO Y CORRECTO;"OpenAI crawlers"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;OpenAI Training;GPTBot;"Permitido por User-agent * si rastrea."; "No bloquear sin decisión humana separada.";REQUIERE DECISION HUMANA;"OpenAI crawlers"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Anthropic Search;Claude-SearchBot;"Permitido por User-agent *."; "Mantener permitido.";VERIFICADO Y CORRECTO;"Anthropic support"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Anthropic User;Claude-User;"User-directed retrieval."; "Mantener permitido; auditar WAF/CDN.";VERIFICADO Y CORRECTO;"Anthropic support"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Anthropic Training;ClaudeBot;"Permitido por User-agent * si rastrea."; "No bloquear sin decisión humana separada.";REQUIERE DECISION HUMANA;"Anthropic support"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Perplexity;PerplexityBot;"Permitido por User-agent *."; "Mantener permitido.";VERIFICADO Y CORRECTO;"Perplexity crawler docs"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Perplexity;Perplexity-User;"User action bot."; "Mantener permitido; auditar WAF/CDN.";VERIFICADO Y CORRECTO;"Perplexity crawler docs"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Comet;Comet;"Tratado como capa Perplexity, no SEO independiente."; "Cubrir vía Perplexity y compatibilidad técnica.";VERIFICADO Y CORRECTO;"Inferencia por producto/navegador Perplexity"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Apple;Applebot;"Permitido por User-agent *."; "Mantener permitido.";VERIFICADO Y CORRECTO;"Applebot documentation"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Apple Training;Applebot-Extended;"No rastrea páginas; controla uso para entrenamiento/modelos Apple."; "No bloquear sin decisión humana separada.";REQUIERE DECISION HUMANA;"Applebot documentation"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Meta;Meta crawlers;"Documento oficial localizado, contenido completo no accesible fiable en revisión."; "No añadir reglas hasta verificar fuente oficial completa.";DECLARADO PERO NO VERIFICADO;"https://developers.facebook.com/documentation/sharing/webmasters/web-crawlers"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Grok/xAI;Grok_xAI;"Sin fuente oficial verificada de user-agent/política robots."; "No inventar reglas.";NO ACCESIBLE;"Búsqueda oficial no concluyente"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Ollama;Ollama;"Runtime/modelo local, no crawler público."; "Sin acción robots.";VERIFICADO Y CORRECTO;"Clasificación técnica"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;WAF/CDN;bot filtering;"Respuesta no estándar observada con user-agent QA, normal con navegador."; "Abrir diagnóstico WAF/CDN/bot allowlist.";VERIFICADO PERO MEJORABLE;"Capturas locales de respuesta pública"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;IndexNow;Bing IndexNow;"App instalada y Bing muestra Submitted URLs, con discrepancia 13 vs 3 en detalle."; "Monitorizar; no reenviar noindex históricos.";VERIFICADO PERO MEJORABLE;"Bing Webmaster + registro 013I5/013I6"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;robots risk;specific Allow groups;"No existen grupos IA específicos."; "No añadir Allow específicos sin duplicar Disallows privados.";VERIFICADO Y CORRECTO;"Riesgo técnico robots"
