orden,id,accion,evidencia_url,impacto,esfuerzo,impacto_x_esfuerzo,horizonte,dependencia,estado_evidencia
29,CAT-12,"Normalizar etiquetas equivalentes como Marron/Marrón mediante un mapa maestro y revisar antes las reglas automáticas dependientes.",https://www.matchwalls.com/collections/lo-mas-contemporaneo-murales,Alto,Medio,7,0-30 días,Mapa de reglas de colecciones,Verificado
30,CAT-13,"Auditar y corregir alt de imágenes principales y muestras con validación visual por familia.",https://www.matchwalls.com/products/whispering-woods-azul,Medio,Medio,4,31-90 días,Validación visual de imágenes,Verificado
31,INT-09,"Corregir las traducciones compartidas de interfaz neerlandesa en un tema aislado y validar home, colección, producto, carrito y páginas corporativas.",https://www.matchwalls.com/nl/products/bruine-noridcas-lijnen,Alto,Medio,7,0-30 días,Revisión editorial neerlandesa y QA visual,Verificado
32,CON-05,"Restaurar el contenido principal localizado de Muestras, Sobre nosotros y FAQ mediante correcciones controladas en tema auxiliar; validar los cinco idiomas antes de publicar.",https://www.matchwalls.com/en/pages/request-your-sample | https://www.matchwalls.com/fr/pages/a-propos-de-nous | https://www.matchwalls.com/en/pages/frequent-questions,Crítico,Alto,8,0-30 días,Acceso completo y QA del tema auxiliar,Verificado
33,CON-06,"Consolidar la FAQ española en un único H1 y un único FAQPage después de validar todas las políticas y prestaciones publicadas.",https://www.matchwalls.com/pages/preguntas-frecuentes,Crítico,Medio,8,0-30 días,Validación comercial y QA de schema,Verificado
34,CON-07,"Validar la propuesta B2B y corregir Profesionales en ES/EN/FR/DE/NL, eliminando H1 duplicado y promesas no demostradas.",https://www.matchwalls.com/pages/profesionales,Crítico,Medio,8,0-30 días,Validación comercial B2B,Verificado
35,CON-08,"Corregir etiquetas y destinos del footer global en ES/EN/FR/DE/NL, incluida la errata 'púbicos', traducciones defectuosas y Black Friday 2024.",https://www.matchwalls.com/,Crítico,Medio,8,0-30 días,Acceso seguro a navegación y validación de destinos,Verificado
36,CAT-08,"Validar la matriz producto-material-prestación y reescribir las colecciones de Estilos, Colores y Espacios sin afirmaciones no demostradas.",https://www.matchwalls.com/collections/papeles-pintados-para-banos | https://www.matchwalls.com/collections/murales-para-la-cocina,Alto,Alto,5,31-90 días,Matriz técnica de producto y materiales,Verificado
37,CON-09,"Auditar y optimizar individualmente los 11 artículos y sus traducciones: resumen, frescura, title, meta, jerarquía, imágenes, enlaces, autoría y Article schema.",https://www.matchwalls.com/blogs/inspiracion,Alto,Alto,5,31-90 días,Revisión editorial y datos de rendimiento,Verificado
38,INT-10,"Corregir las plantillas localizadas que ocultan traducciones guardadas y verificar ES/EN/FR/DE/NL en móvil y escritorio.",https://www.matchwalls.com/en/pages/request-your-sample | https://www.matchwalls.com/fr/pages/a-propos-de-nous | https://www.matchwalls.com/nl/pages/over-ons,Crítico,Alto,8,0-30 días,Acceso completo y QA del tema auxiliar,Verificado
39,CON-10,"Migrar FAQ y Profesionales desde bloques fijos del tema a contenido localizable y gobernado; validar todos los textos, schema, enlaces, móvil y escritorio antes de publicar.",https://www.matchwalls.com/pages/preguntas-frecuentes | https://www.matchwalls.com/pages/profesionales,Crítico,Alto,8,0-30 días,Edición segura del tema auxiliar y validación comercial,Verificado
40,CON-11,"Migrar Afiliación y prensa desde bloques fijos del tema a contenido localizable; validar condiciones, testimonios, derechos de imagen y cinco idiomas.",https://www.matchwalls.com/pages/social-prensa-y-afiliacion | https://www.matchwalls.com/en/pages/social-press-and-affiliation,Crítico,Alto,8,0-30 días,Edición segura del tema auxiliar y validación comercial/legal,Verificado
41,SCH-01-POST,"Hotfix de schema publicado manualmente y verificado: 0 errores JSON-LD, 0 AggregateRating corporativo fijo, 0 GTIN/MPN falsos y Product/Offer correcto en matriz ES/EN/FR/DE/NL.",https://www.matchwalls.com/products/whispering-woods-azul,Crítico,Bajo,10,0-30 días,"Mantener monitorizacion; no publicar SEO-GEO staging en este lote",CORREGIDO Y VERIFICADO
