orden,oleada,lote,objetivo,dependencias,alcance,idiomas,tipo,riesgo,estado,aprobacion,reversion,criterio_salida
5,1,MW-TECH-HOME-CRAWLABLE-CSS-010D,Eliminar CSS expuesto como texto,009 cerrado o revertido,"Tema auxiliar 178399019384; sections/collection-logo-list.liquid; home",ES|EN|FR|DE|NL,Tema/contenido,Medio,CORREGIDO Y VERIFICADO,APROBADO LOTE MW-TECH-HOME-CRAWLABLE-CSS-010D; ejecutado 2026-06-25; checksum e246746230f64c88b529db9aa370f3e2,Restaurar MD5 44d02156951a46f0147f3ee3de61f38e,10/10 homes desktop-mobile; 0 styles dentro de .logo-link; CSS ausente de body.textContent; MAIN y rollback intactos
5.1,1,MW-TECH-QA-REGRESSION-MATRIX-010Z,Regresion compacta antes de matriz final,010A2D cerrado,"Tema auxiliar 178399019384; home; carrito; coleccion; uploader ES EN FR DE NL; producto estandar; mobile FR NL",ES|EN|FR|DE|NL,QA,Medio,VERIFICADO PERO MEJORABLE,"Ejecutado solo lectura 2026-06-25; tracking correcto y 0 errores consola; detectado overflow uploader FR NL relacionado con related-products",No aplica; no hubo escritura,No publicar hasta resolver 010C3 y ejecutar matriz final
5.2,1,MW-TECH-MOBILE-OVERFLOW-RELATED-PRODUCTS-010C3,Corregir overflow movil en related-products del uploader,010Z detectado,"Tema auxiliar 178399019384; sections/related-products.liquid; assets/theme.css solo lectura",FR|NL|ES,Tema CSS,Medio,INCORRECTO,"Aprobado y ejecutado 2026-06-25; candidato e1637667eebf1ec246786deaa2a45297 no corrigio overflow FR/NL; rollback final verificado MD5 d8822a8c73cee73d61744c0b68b7a375",Rollback ya ejecutado; QA igual que MAIN en related-products; theme.css intacto,No superado; requiere diagnostico fino 010C4 antes de nuevo cambio
6,1,MW-MEASURE-CWV-FIELD-010E,Obtener CWV de campo,Acceso GSC o CrUX,Plantillas y paises con datos,ES|EN|FR|DE|NL,Medicion,Bajo,NO ACCESIBLE,Solo lectura autorizada,No aplica,Baseline documentada
7,2,MW-INDEX-INVENTORY-011A,Clasificar 7932 URLs,Sitemap y Shopify actuales,Inventario URL completo,ES|EN|FR|DE|NL,Auditoria,Bajo,INCOMPLETO,Solo lectura autorizada,No aplica,100% clasificado
8,2,MW-INDEX-SAMPLES-POLICY-011B,Definir politica para 541+ muestras,011A y mapa producto-muestra,Muestras y productos principales,ES|EN|FR|DE|NL,Arquitectura,Alto,REQUIERE DECISION HUMANA,Lote formal pendiente,Restaurar reglas/canonicals/noindex,Politica y piloto aprobados
9,2,MW-INDEX-GEO-COLLECTIONS-011C,Clasificar 58 colecciones geograficas,Datos GSC Bing y ventas,Colecciones geograficas,ES|EN|FR|DE|NL,Arquitectura,Alto,NO ACCESIBLE,Lote formal pendiente,Mapa y 301 uno a uno,Decision por URL
10,2,MW-INDEX-LOW-VALUE-011D,Tratar pruebas Black Friday y URLs sin valor,011A y decisiones comerciales,URLs individuales,ES|EN|FR|DE|NL,Contenido/indexacion,Medio,REQUIERE DECISION HUMANA,Lote formal pendiente,Restaurar publicacion o 301,Sin retirar URLs valiosas
11,2,MW-INDEX-REDIRECTS-HREFLANG-011E,Auditar 635 redirects canonicals hreflang y 404,011A,URLs y redirecciones,ES|EN|FR|DE|NL,Auditoria/mapa,Alto,INCOMPLETO,Escritura por lote,Restaurar mapa previo,Cero cadenas/bucles en piloto
12,3,MW-ACCESS-MEASUREMENT-012A,Verificar GSC GA4 Merchant Center y CrUX,Permisos directos,Plataformas externas,ES|EN|FR|DE|NL,Acceso/medicion,Bajo,NO ACCESIBLE,Decision humana de acceso,No aplica,Datos reales demostrados
13,3,MW-BING-WEBMASTER-012B,Verificar Bing Webmaster Tools,Acceso directo,Bing y sitemaps,ES|EN|FR|DE|NL,Acceso/medicion,Bajo,NO ACCESIBLE,Decision humana de acceso,No aplica,Cobertura exportada
14,3,MW-INDEXNOW-DESIGN-012C,Disenar IndexNow para URLs valiosas,012B y politica de indexacion,Altas modificaciones bajas,ES|EN|FR|DE|NL,Integracion,Medio,DECLARADO PERO NO VERIFICADO,Lote formal pendiente,Desactivar integracion,Eventos validos sin ruido
15,3,MW-AI-CRAWLERS-POLICY-012D,Definir bots de busqueda y entrenamiento,Auditoria robots CDN WAF,robots.txt CDN WAF,Global,Gobernanza,Alto,DECLARADO PERO NO VERIFICADO,Lote formal pendiente,Restaurar reglas previas,Bots oficiales validados
16,3,MW-YANDEX-WEBMASTER-012E,Verificar Yandex Webmaster,Fuera de alcance por decision Daniel 2026-06-18,Yandex y sitemaps,Aplicables,Acceso/medicion,Bajo,STANDBY,No ejecutar salvo nueva decision humana,No aplica,Fuera del programa activo
17,4,MW-ENTITY-EVIDENCE-013A,Crear base de hechos aprobados,Evidencia comercial tecnica legal,Marca materiales mercados politicas autores,ES,Validacion factual,Medio,INCOMPLETO,Decision humana sobre hechos,No aplica,Cada afirmacion tiene fuente
18,4,MW-ENTITY-CONTENT-I18N-013B,Publicar entidad coherente,013A aprobada,Paginas de marca y contacto,ES|EN|FR|DE|NL,Contenido,Medio,INCOMPLETO,Lote formal pendiente,Restaurar contenido,Contenido coherente
19,4,MW-SCHEMA-ENTITY-013C,Alinear schema visible,013A y 013B,Organization WebSite Product Offer Breadcrumb Article,ES|EN|FR|DE|NL,Tema/schema,Alto,INCOMPLETO,Lote formal pendiente,Republicar tema anterior,Schema factual y valido
20,5,MW-CONTENT-DEMAND-CITATIONS-014,Crear guias comparativas casos y calculadoras,Evidencias y politica editorial,Una intencion por sublote,ES|EN|FR|DE|NL,Contenido,Medio,INCOMPLETO,Lotes separados,Restaurar version anterior,Contenido util enlazado y medido
21,6,MW-DASHBOARD-SEO-GEO-015,Panel mensual CEO CMO,012A 012B y KPI,Google Gemini Bing Edge Copilot Yahoo Perplexity Comet ChatGPT Claude Grok,ES|EN|FR|DE|NL,Medicion,Bajo,NO ACCESIBLE,Acceso aprobado,No aplica,Informe reproducible




