location,source,target
navigation[715667046776][title],Lila,Lilac
navigation[715667079544][title],Verde,Green
navigation[715667112312][title],Dorado,Golden
navigation[715667145080][title],Plateado,Silver
navigation[715667177848][title],Multicolor,Multicolored
navigation[715667210616][title],"Blanco y Negro","Black and White"
navigation[715667243384][title],Azul,Blue
navigation[715667276152][title],Amarillo,Yellow
navigation[715667308920][title],Blanco,White
navigation[715667341688][title],Beige,Beige
navigation[715667374456][title],Negro,Black
navigation[715667407224][title],Gris,Grey
navigation[715667439992][title],Marrón,Brown
navigation[715667472760][title],Rosa,Pink
navigation[715667505528][title],Lila,Lilac
navigation[715667538296][title],Verde,Green
navigation[715667571064][title],Dorado,Golden
navigation[715667603832][title],Plateado,Silver
navigation[715667636600][title],Multicolor,Multicolored
navigation[715777147256][title],Naturaleza,Nature
navigation[715777180024][title],Rayas,Stripes
navigation[715857887608][title],Patrones,Patterns
navigation[715887903096][title],Baño,Bathroom
navigation[715896029560][title],Ofertas,"Special Prices"
navigation[715896062328][title],Ofertas,"Special Prices"
navigation[716002492792][title],"Ver todo","See everything"
navigation[716142379384][title],Botánico,Botanical
navigation[716142412152][title],Patrones,Patterns
navigation[716142444920][title],Paisajes,Landscapes
navigation[716142477688][title],Geométricos,Geometric
navigation[716142510456][title],Floral,Floral
navigation[716142543224][title],Infantiles,Children
navigation[716142575992][title],Naturaleza,Nature
navigation[716142608760][title],Rayas,Stripes
navigation[716142674296][title],"Categorías destacadas","Outstanding categories"
navigation[716143034744][title],"Todas las categorías","All categories"
navigation[716143067512][title],"Todos los colores","All colors"
navigation[716143100280][title],Geométrico,Geometric
navigation[716143264120][title],Profesionales,Professionals
navigation[732636381560][title],Perfil,
